Level,Message
stone_1,"Damp air rises from the stair behind you. Somewhere below these halls, the one you came for might still be alive."
stone_1,The city noise fades quickly above. The Wake begins in silence and wet stone.
stone_1,"The first corridors feel abandoned. You picture them standing here, deciding whether to go deeper."
stone_1,"Water drips through cracked stone. If they came this way, their footsteps once echoed here too."
stone_1,The descent begins gently enough. You tell yourself they could still be close.
stone_2,The tunnels narrow and twist. It is easy to imagine someone losing their way down here.
stone_2,Old tool marks scar the walls. Someone built these halls long ago.
stone_2,The deeper air smells colder. You wonder how long they have been gone.
stone_2,"You pause at each intersection, listening for a voice you know will not answer."
stone_2,Every corridor feels like a choice they once had to make.
stone_3,Water runs down the walls in thin streams. The sound almost resembles whispering.
stone_3,Broken tools lie scattered in the dust. Whoever worked here never finished their task.
stone_3,"The deeper tunnels bend in deliberate patterns. This was design, not accident."
stone_3,"You imagine them pushing forward into the depths, just as you are now."
stone_3,The Wake begins to feel less like ruins and more like a path.
stone_4,The stonework grows smoother here. These passages were shaped with careful intention.
stone_4,"Strange carvings appear in the walls. Warnings, perhaps, though you cannot read them."
stone_4,"The deeper corridors loop strangely, as if the dungeon resists being mapped."
stone_4,You imagine them realizing the same thing: this place was built for a purpose.
stone_4,The air feels heavy with age. Someone long ago decided this descent mattered.
stone_5,The stone here is older than anything above. You can feel it; the Wake truly begins below.
stone_5,"The walls feel strangely warm, as if something deep beneath them still lives."
stone_5,The silence grows deeper here. Even the dripping water fades away.
stone_5,"If they reached this far, they must have realized the tunnels were only the beginning."
stone_5,"The path ahead feels deliberate now, like a descent into the heart of something ancient."
catacomb_1,Bones line the walls in careful rows. You try not to search them for a familiar face.
catacomb_1,Dust rises around your steps. These dead have watched many Delvers pass through.
catacomb_1,Crypts stretch into the darkness. You wonder if someone you love once walked here alone.
catacomb_1,The air is dry and still. Whoever built these halls thought the dead to stay quiet.
catacomb_1,"The deeper you go, the more the Wake begins to resemble a grave."
catacomb_2,"Names cover the walls, carved into ancient stone. You read every one."
catacomb_2,"On the wall, a freshly carved inscriptions. Someone else came searching, too."
catacomb_2,"Bones are stacked carelessly here, as if something disturbed their rest."
catacomb_2,A cracked marker bears a half-erased name. You feel a cold stab of panic before realizing it isn't their name. 
catacomb_2,"The catacombs feel less like a resting place; more and more, this is a record."
catacomb_3,"The bones are scattered here. Something has passed through, long after the burials ended."
catacomb_3,Messages scratched into the walls beg for rescue that never came.
catacomb_3,The silence feels wrong; the dead themselves are listening.
catacomb_3,You imagine them moving through these crypts with the same uneasy hope.
catacomb_3,Every empty alcove makes you wonder who never left.
catacomb_4,"Strange patterns repeat in the carvings. Names appear twice, sometimes three times."
catacomb_4,"You see their name etched in the stone in a glance; you look back, but it is no longer a name you recognize."
catacomb_4,"The deeper catacombs feel unsettled, as if memory itself is shifting."
catacomb_4,The walls hold more names than there were bodies to bury.
catacomb_4,Something about the Wake refuses to let the past remain still; the dead do not rest easy here.
catacomb_5,"As you enter, you step over bones were arranged deliberately as a barrier."
catacomb_5,A cracked stone seal lies broken in the floor. Something beneath it was meant to stay buried.
catacomb_5,This chamber feels ominous. Your instincts scream of dire risk ahea.
catacomb_5,The catacombs must be drawing to a close. How much deeper is the Wake?
catacomb_5,"Did they know what the Wake was hiding, when they made it through the catacombs?"
machine_1,Stone walls carry metal here. Pipes and gears twist through the rock like veins.
machine_1,The smell of oil replaces dust and bone. There are machines beneath the dead.
machine_1,Rusted mechanisms turn slowly overhead. The Wake is still running.
machine_1,"This is not ruins, not a crypt- more like an engine."
machine_1,You wonder what they thought when they first saw the iron mechanisms adorning the walls this deep in the Wake.
machine_2,"The machines grow in fervent motion, filling entire chambers with sounds of grinding metal."
machine_2,Pistons rise and fall in slow rhythm. The Wake breathes like a buried engine.
machine_2,Hot metal glows faintly in the dark. No one remains to care for the machines.
machine_2,"The deeper you go, the clearer it becomes: this place was meant to function forever."
machine_2,"If they came this far, they must have realized the dungeon was never abandoned."
machine_3,Heat travels through the walls in humming pipes. Power still flows beneath the earth.
machine_3,The floor vibrates steadily under your boots.
machine_3,"Strange markings label the machinery, written in symbols older than the city above."
machine_3,"The Wake feels alive here, quietly stirring in the shadows."
machine_3,You wonder what became of the missing Delvers who came before you.
machine_4,Corridors converge toward a single shaft descending into darkness.
machine_4,"The machinery grows louder, the sound echoing through metal chambers."
machine_4,Everything above seems designed to guide you toward what lies below.
machine_4,"The deeper mechanisms of the Wake reveal themselves, pulsing, beckoning your forward."
machine_4,"If they reached this depth, they knew the descent was no accident."
machine_5,"All the machinery leads here, circling something far older than the dungeon itself."
machine_5,The air is heavy with memory; countless minds have stood where you stand.
machine_5,"You sense a presence in the chamber, both familiar and distant, and it is waiting for you."
machine_5,"The Wake was built to hold something, but it feels incomplete."
machine_5,"For the first time since entering the Wake, you believe yourself close to finding them."